source_text	target_text
Hello, how are you?	Bonjour, comment allez-vous?
The weather is nice today.	Le temps est beau aujourd'hui.
I love learning new languages.	J'aime apprendre de nouvelles langues.
The restaurant is closed.	Le restaurant est fermé.
She works at the hospital.	Elle travaille à l'hôpital.
The movie was very interesting.	Le film était très intéressant.
I need to buy some groceries.	Je dois acheter des provisions.
The book is on the table.	Le livre est sur la table.
They are playing in the garden.	Ils jouent dans le jardin.
The coffee is too hot.	Le café est trop chaud.
I forgot my keys at home.	J'ai oublié mes clés à la maison.
The bus arrives in five minutes.	Le bus arrive dans cinq minutes.
She likes to cook Italian food.	Elle aime cuisiner la cuisine italienne.
The children are sleeping.	Les enfants dorment.
The store opens at nine.	Le magasin ouvre à neuf heures.
I need to call my mother.	Je dois appeler ma mère.
The cat is sleeping on the sofa.	Le chat dort sur le canapé.
The phone is ringing.	Le téléphone sonne.
I'm going to the cinema.	Je vais au cinéma.
The train is delayed.	Le train est en retard.
She bought a new dress.	Elle a acheté une nouvelle robe.
The sun is setting.	Le soleil se couche.
I need to water the plants.	Je dois arroser les plantes.
The music is too loud.	La musique est trop forte.
The door is locked.	La porte est verrouillée.
She's reading a book.	Elle lit un livre.
The coffee machine is broken.	La machine à café est cassée.
I need to clean the house.	Je dois nettoyer la maison.
The window is open.	La fenêtre est ouverte.
She's making a cake.	Elle fait un gâteau.
The car needs fuel.	La voiture a besoin d'essence.
I'm going to the park.	Je vais au parc.
The dog is barking.	Le chien aboie.
She's taking a shower.	Elle prend une douche.
The clock is slow.	L'horloge est lente.
I need to send an email.	Je dois envoyer un email.
The flowers are beautiful.	Les fleurs sont belles.
She's listening to music.	Elle écoute de la musique.
The computer is updating.	L'ordinateur se met à jour.
I'm going to the gym.	Je vais à la salle de sport.
The birds are singing.	Les oiseaux chantent.
She's painting a picture.	Elle peint un tableau.
The printer is out of paper.	L'imprimante n'a plus de papier.
I need to make a reservation.	Je dois faire une réservation.
The stars are bright.	Les étoiles sont brillantes.
She's writing a letter.	Elle écrit une lettre.
The microwave is beeping.	Le micro-ondes sonne.
I'm going to the library.	Je vais à la bibliothèque.
The rain has stopped.	La pluie s'est arrêtée.
I bought some milk at the store.	J'ai acheté du lait au magasin.
