source_text	target_text
The team won the championship.	L'équipe a remporté le championnat.
The match ended in a draw.	Le match s'est terminé par un match nul.
The player scored a goal.	Le joueur a marqué un but.
The tournament starts next week.	Le tournoi commence la semaine prochaine.
The coach gave instructions to the team.	L'entraîneur a donné des instructions à l'équipe.
The stadium was full of fans.	Le stade était rempli de supporters.
The athlete broke the record.	L'athlète a battu le record.
The referee made a controversial decision.	L'arbitre a pris une décision controversée.
The team qualified for the final.	L'équipe s'est qualifiée pour la finale.
The player was injured during the game.	Le joueur a été blessé pendant le match.
The match was postponed due to rain.	Le match a été reporté à cause de la pluie.
The team signed a new player.	L'équipe a recruté un nouveau joueur.
The athlete won the gold medal.	L'athlète a remporté la médaille d'or.
The coach called a timeout.	L'entraîneur a demandé un temps mort.
The stadium lights went out.	Les lumières du stade se sont éteintes.
The player received a red card.	Le joueur a reçu un carton rouge.
The team lost the semifinal.	L'équipe a perdu la demi-finale.
The athlete set a new record.	L'athlète a établi un nouveau record.
The match went into overtime.	Le match est allé en prolongation.
The team celebrated their victory.	L'équipe a célébré sa victoire.
The player missed a penalty.	Le joueur a manqué un penalty.
The stadium was renovated.	Le stade a été rénové.
The athlete won the race.	L'athlète a gagné la course.
The coach made substitutions.	L'entraîneur a fait des remplacements.
The team reached the playoffs.	L'équipe s'est qualifiée pour les play-offs.
The player scored a hat-trick.	Le joueur a marqué un hat-trick.
The stadium hosted the final.	Le stade a accueilli la finale.
The athlete broke the world record.	L'athlète a battu le record du monde.
The match was broadcast live.	Le match a été diffusé en direct.
The team won the league.	L'équipe a remporté le championnat.
The player received an award.	Le joueur a reçu un prix.
The stadium was sold out.	Le stade était complet.
The athlete won the tournament.	L'athlète a remporté le tournoi.
The coach gave a press conference.	L'entraîneur a donné une conférence de presse.
The team lost the quarterfinal.	L'équipe a perdu le quart de finale.
The player scored a free kick.	Le joueur a marqué un coup franc.
The stadium was evacuated.	Le stade a été évacué.
The athlete won the championship.	L'athlète a remporté le championnat.
The match was cancelled.	Le match a été annulé.
The team won the cup.	L'équipe a remporté la coupe.
The player received a yellow card.	Le joueur a reçu un carton jaune.
The stadium was packed.	Le stade était plein.
The athlete won the silver medal.	L'athlète a remporté la médaille d'argent.
The coach gave a team talk.	L'entraîneur a fait un discours d'équipe.
The team won the derby.	L'équipe a remporté le derby.
The player scored a header.	Le joueur a marqué de la tête.
The stadium was modernized.	Le stade a été modernisé.
The athlete won the bronze medal.	L'athlète a remporté la médaille de bronze.
The match was rescheduled.	Le match a été reprogrammé.
The team won the trophy.	L'équipe a remporté le trophée. 
